date,excess_log_return,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
5/29/1998,0,0.998160072,0.998160072,0.998160072,0.998160072,0.998160072,0.998160072,0.998160072,0.998160072,0.998160072,0.998160072
6/30/1998,0,0.868246455,0.847650407,0.860550663,0.90811782,0.894103566,0.924246454,0.785633177,0.925263317,0.911273814,0.88553906
7/31/1998,0,0.755505011,0.720984293,0.742406523,0.827571906,0.800960023,0.856788616,0.622511221,0.858137896,0.8336622,0.785667522
8/31/1998,0,0.657705058,0.614582906,0.641052249,0.755650751,0.717592523,0.795298229,0.498342607,0.796361517,0.764488836,0.697107543
9/30/1998,0,0.572911083,0.525430328,0.554190981,0.691567016,0.642983446,0.739325913,0.404992907,0.739544639,0.70299466,0.618584054
10/30/1998,0,0.499444287,0.450984531,0.479851735,0.634607806,0.57622205,0.688457502,0.336044703,0.687327887,0.648488305,0.548966476
11/30/1998,0,0.43584911,0.389099962,0.416343793,0.584125509,0.516493341,0.642310515,0.286301672,0.63937963,0.600337178,0.487252434
12/31/1998,0,0.380864046,0.337959308,0.36221698,0.539529303,0.463068117,0.600530824,0.251419074,0.595393701,0.557959324,0.43255332
1/29/1999,0,0.333396141,0.296012706,0.316226779,0.500277348,0.415294043,0.562789529,0.227698528,0.555087251,0.520816227,0.384081489
2/26/1999,0,0.292498577,0.261923817,0.277303401,0.465869806,0.372587664,0.528780057,0.212039156,0.518198705,0.488406707,0.3411389
3/31/1999,0,0.257350855,0.234523524,0.244524031,0.435842815,0.334427253,0.498215511,0.201961294,0.484485842,0.460262074,0.303107051
4/30/1999,0,0.227241117,0.21277332,0.21708778,0.409763586,0.300346389,0.47082632,0.195602667,0.453723955,0.435942639,0.269438041
5/31/1999,0,0.201550211,0.195740638,0.194293197,0.387226747,0.269928202,0.446358222,0.19164736,0.425704118,0.41503559,0.239646641
6/30/1999,0,0.179737224,0.182586788,0.175518662,0.367851962,0.242800199,0.424570619,0.189210617,0.400231552,0.397154078,0.213303248
7/30/1999,0,0.161326344,0.172565184,0.16020636,0.351282749,0.2186296,0.405235324,0.187718805,0.377124096,0.381937261,0.190027626
8/31/1999,0,0.145895114,0.165024813,0.147850663,0.337186265,0.197119125,0.388135714,0.18680912,0.356210797,0.369050921,0.169483316
9/30/1999,0,0.133064328,0.159413285,0.137991353,0.325253758,0.178003175,0.373066249,0.18625578,0.337330646,0.358188268,0.151372648
10/29/1999,0,0.122489986,0.155275552,0.13021128,0.315201292,0.161044337,0.359832311,0.18591971,0.320331464,0.349070568,0.13543226
11/30/1999,0,0.113857667,0.152247264,0.124137039,0.306770396,0.146030189,0.348250294,0.18571579,0.305068964,0.341447334,0.121429046
12/31/1999,0,0.106879431,0.150043933,0.119440722,0.299728373,0.132770334,0.338147831,0.185592125,0.291406011,0.335095939,0.109156483
1/31/2000,0,0.101292926,0.148448041,0.115840898,0.293868083,0.121093661,0.329364089,0.185517156,0.279212064,0.329820629,0.098431256
2/29/2000,0,0.096861937,0.147296046,0.113101742,0.28900717,0.110845795,0.321750023,0.185471718,0.268362825,0.325451002,0.089090151
3/31/2000,0,0.093377381,0.146466575,0.111030103,0.284986771,0.101886744,0.31516852,0.185444182,0.258740049,0.321840093,0.080987193
4/28/2000,0,0.090657882,0.14587044,0.109470978,0.281669815,0.094088766,0.309494401,0.185427495,0.250231504,0.318862191,0.073991024
5/31/2000,0,0.088549368,0.145442582,0.10830212,0.278939061,0.087334492,0.30461424,0.185417384,0.242731046,0.31641055,0.067982548
6/30/2000,0,0.086923579,0.145135803,0.107428488,0.276694989,0.081515352,0.300426012,0.185411258,0.236138741,0.3143951,0.062852903
7/31/2000,0,0.085675685,0.144915994,0.106777035,0.274853688,0.076530357,0.296838586,0.185407546,0.230361023,0.312740256,0.058501825
8/31/2000,0,0.084721359,0.144758581,0.106292117,0.27334481,0.072285269,0.293771087,0.185405296,0.225310824,0.311382886,0.054836453
9/29/2000,0,0.083993668,0.144645893,0.105931647,0.27210967,0.068692134,0.291152172,0.185403933,0.220907647,0.310270461,0.051770613
10/31/2000,0,0.083440062,0.144565244,0.105663959,0.271099509,0.065669143,0.288919248,0.185403108,0.217077572,0.309359421,0.04922451
11/30/2000,0,0.083019649,0.144507536,0.105465321,0.270273958,0.06314072,0.287017664,0.185402607,0.213753175,0.308613744,0.047124754
12/29/2000,0,0.082700825,0.144466249,0.105318005,0.269599691,0.061037714,0.285399908,0.185402304,0.210873353,0.308003709,0.045404554
1/31/2001,0,0.082459298,0.144436713,0.105208797,0.269049262,0.059297585,0.284024839,0.185402121,0.208383087,0.307504839,0.044003934
2/28/2001,0,0.082276478,0.144415585,0.105127866,0.268600113,0.057864489,0.282856944,0.185402009,0.206233117,0.307097011,0.042869834
3/30/2001,0,0.082138181,0.144400472,0.105067903,0.268233732,0.056689209,0.281865664,0.185401942,0.204379589,0.306763698,0.041956031
