return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewma
-0.120250781,0.025736667,0,0,0,0
-0.120250783,0.020528887,0,0,0,0
-0.120250785,0.016349489,0,0,0,0
-0.120250787,0.013001429,0,0,0,0
-0.120250788,0.010324056,0,0,0,0
-0.120250789,0.008186636,0,0,0,0
-0.120250791,0.006483002,0,0,0,0
-0.120250792,0.005127137,0,0,0,0
-0.120250793,0.004049523,0,0,0,0
-0.120250794,0.003194123,0,0,0,0
-0.120250795,0.002515887,0,0,0,0
-0.120250796,0.00197869,0,0,0,0
-0.120250796,0.001553637,0,0,0,0
-0.120250797,0.001217663,0,0,0,0
-0.120250797,0.000952394,0,0,0,0
-0.120250798,0.000743211,0,0,0,0
-0.120250798,0.000578493,0,0,0,0
-0.120250799,0.000449009,0,0,0,0
-0.120250799,0.000347426,0,0,0,0
-0.120250799,0.000267918,0,0,0,0
-0.1202508,0.000205857,0,0,0,0
-0.1202508,0.000157563,0,0,0,0
-0.1202508,0.000120112,0,0,0,0
-0.120250801,9.12E-05,0,0,0,0
-0.120250801,6.89E-05,0,0,0,0
-0.120250801,5.19E-05,0,0,0,0
-0.120250801,3.89E-05,0,0,0,0
-0.120250801,2.90E-05,0,0,0,0
-0.120250801,2.15E-05,0,0,0,0
-0.120250802,1.59E-05,0,0,0,0
-0.120250802,1.17E-05,0,0,0,0
-0.120250802,8.61E-06,0,0,0,0
-0.120250802,6.29E-06,-249.9420804,0,0,-178.5300574
-0.120250802,413.6992141,-44.183604,0,0,-82.56830498
-0.709551562,425.645417,-52.64498808,413.6971329,-1.666280536,-61.19450719
-1.847506984,442.2292972,73.85520957,425.6433442,-1.960837896,35.26957621
-2.581430302,482.3852241,85.17154517,442.6204213,-2.311804483,70.91383975
-2.474751596,535.3478083,-202.8050874,481.0184589,-1.819436419,-124.5996796
-2.474833442,798.1721236,-63.8180738,531.1235206,-1.251626118,-81.1842469
-2.271179083,821.0944908,35.49949293,800.1103994,-2.603660034,2.161281551
-2.131631189,831.9704223,-332.3266972,824.8655578,-3.02911386,-236.7587033
-1.949971491,1542.552923,-409.3851788,834.6447351,-2.792450573,-360.0633286
-1.856827286,2615.794936,-304.1678675,1553.636391,-5.007961888,-320.1379993
-1.751896241,3190.711021,22.6754098,2636.160029,-7.737196413,-75.2712785
-1.766013139,3197.750838,-73.01392084,3217.456637,-9.764982197,-73.65888017
-1.767810375,3222.451626,-186.1793848,3223.813946,-9.613812798,-154.0306692
-2.123329158,3423.435835,158.3418814,3249.758,-10.10057227,69.09258123
-2.386986245,3617.628541,315.6115149,3454.228944,-11.34176817,245.1775339
-2.62415644,4329.695511,95.00920211,3644.207328,-10.28615563,137.9144398
-3.192596048,4403.073986,50.04057744,4347.136766,-8.18207886,75.14739524
-3.241228759,4426.964307,170.6105902,4417.278871,-7.54868418,143.3353916
-3.029842048,4643.059653,51.93424136,4438.897849,-7.21508033,78.04885573
-3.079383144,4667.251372,126.7714945,4648.07024,-6.077676395,112.8507406
-3.15056729,4788.179072,-137.7987119,4670.139995,-5.73144812,-66.18458262
-3.048055258,4900.165919,76.19427983,4786.253597,-4.886304823,35.51460484
-2.860333745,4947.437519,163.2715771,4903.021877,-5.804962902,126.769585
-2.728977962,5140.977341,-117.5518197,4947.36504,-5.297001037,-47.74570406
-2.520469274,5222.527222,100.7443064,5135.428973,-4.208523856,58.31858912
-2.30563313,5299.365884,117.472003,5220.341427,-4.992202654,100.5710276
-2.064507079,5400.493679,72.37624713,5294.258924,-4.320573945,80.43189869
-1.878763011,5440.201453,-158.8628234,5392.410702,-3.537427258,-90.4929028
-1.605987099,5598.071679,-127.6013979,5430.513704,-3.054918944,-116.9989707
-1.525703636,5697.16033,128.530109,5591.170513,-4.114004433,58.37894336
-1.503718197,5816.849394,-143.6139651,5691.994938,-4.964680419,-85.90170554
-1.419679633,5943.825986,226.2930483,5809.902122,-4.107813026,137.0945472
-1.344040587,6300.905018,80.53160013,5938.619405,-5.06523946,96.69244215
-1.373218968,6348.563861,41.46271856,6293.016808,-3.556619138,57.24263959
-1.303645539,6362.111039,137.8839407,6339.783098,-3.019741804,114.843569
-1.072364784,6494.42147,68.84868326,6352.83716,-2.74332368,81.99007917
-0.991229676,6527.950475,80.35532704,6483.782194,-1.824097409,80.82239908
-0.885546027,6572.609552,-9.307591752,6516.846952,-1.365106187,16.4438342
-0.909696686,6573.052702,0.820398202,6561.06908,-0.829404007,5.284237058
-0.967390344,6573.07864,-75.921222,6561.539841,-0.891454618,-52.71966227
-0.925337024,6610.003775,-91.22326501,6561.55405,-0.885985297,-80.22223566
-0.784443552,6663.060083,-122.876585,6598.827882,-1.392126777,-110.689628
-0.716100734,6759.522232,-200.0743094,6652.242666,-2.000281877,-174.535829
-0.692998231,7016.871186,-231.5372142,6748.952145,-2.81945911,-215.2511041
-0.670442085,7358.902979,222.3052104,7006.516556,-4.15328784,97.28912053
-0.759271983,7703.201491,-57.99666717,7348.70858,-5.696869268,-13.62929926
