return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewma
-0.060073309,0.040892155,0,0,0,0
-0.060073283,0.032543561,0,0,0,0
-0.060073262,0.025793407,0,0,0,0
-0.060073243,0.020357041,0,0,0,0
-0.060073227,0.015996602,0,0,0,0
-0.060073214,0.012514024,0,0,0,0
-0.060073202,0.009744935,0,0,0,0
-0.060073192,0.007553375,0,0,0,0
-0.060073183,0.005827267,0,0,0,0
-0.060073176,0.004474544,0,0,0,0
-0.060073169,0.003419867,0,0,0,0
-0.060073164,0.002601847,0,0,0,0
-0.060073158,0.001970691,0,0,0,0
-0.060073154,0.001486229,0,0,0,0
-0.060073151,0.001116244,0,0,0,0
-0.060073147,0.000835061,0,0,0,0
-0.060073145,0.000622358,0,0,0,0
-0.060073142,0.000462165,0,0,0,0
-0.06007314,0.000342022,0,0,0,0
-0.060073138,0.000252269,0,0,0,0
-0.060073137,0.00018547,0,0,0,0
-0.060073136,0.000135933,0,0,0,0
-0.060073135,9.93E-05,0,0,0,0
-0.060073133,7.24E-05,0,0,0,0
-0.060073133,5.26E-05,0,0,0,0
-0.060073132,3.81E-05,0,0,0,0
-0.060073131,2.75E-05,0,0,0,0
-0.060073131,1.99E-05,0,0,0,0
-0.060073131,1.43E-05,0,0,0,0
-0.06007313,1.03E-05,0,0,0,0
-0.060073129,7.38E-06,0,0,0,0
-0.060073129,5.29E-06,0,0,0,0
-0.060073129,3.79E-06,0,0,0,0
-0.060073129,2.71E-06,0,0,0,0
-0.060073128,1.94E-06,0,0,0,0
-0.060073128,1.38E-06,0,0,0,0
-0.060073128,9.89E-07,0,0,0,0
-0.060073128,7.06E-07,0,0,0,0
-0.060073128,5.04E-07,0,0,0,0
-0.060073128,3.60E-07,0,0,0,0
-0.060073128,2.57E-07,0,0,0,0
-0.060073127,1.84E-07,0,0,0,0
-0.060073127,1.31E-07,0,0,0,0
-0.060073127,9.36E-08,-75.39562056,0,0,-53.85401469
-0.060073127,56.27669023,15.27455739,0,0,-4.476463203
1.263775693,58.81676008,40.22358101,56.27654604,-0.753956206,27.45213981
0.808485259,74.26500326,-0.877086242,58.81666281,-0.601210632,7.216978343
0.189724526,74.28775985,5.726761394,75.31789074,-0.198974822,6.152537665
0.051920231,74.60987985,12.17287193,75.32201626,-0.207745684,10.45277643
-0.126148281,76.09215763,30.69285347,75.67048884,-0.15047807,24.90997431
-0.626556306,85.49203993,-59.73128501,77.17409407,-0.028749351,-35.54806806
-0.625739982,120.4464947,-59.45998588,86.51804948,0.278179184,-52.62800936
-0.679223657,154.3865374,25.49309224,122.1718509,-0.319133666,3.172777497
-1.116625551,161.6211006,-44.37616683,156.7936875,-0.913733525,-30.79075417
-1.090377545,179.6221777,57.843685,163.6935531,-0.658802603,32.51955952
-1.107987986,215.2314876,20.07067737,182.6043678,-1.102564271,23.62750084
-1.409806436,219.8625041,-3.103511667,217.0042252,-0.524127421,4.533920479
-1.354350864,219.88245,61.63362392,221.2026547,-0.323420647,45.31942294
-1.432952329,259.4845895,-7.927304947,221.2779346,-0.354455764,7.286045877
-1.375311978,259.9508393,9.77610406,259.3220281,0.261880475,9.064658865
-1.354941268,261.1139785,21.75323649,259.9856856,0.182607426,18.1279286
-1.35477894,266.2081343,-3.686653973,260.8961467,0.280368466,2.546083904
-1.446144019,266.2929141,-9.842417759,265.4588809,0.497900831,-6.302845855
-1.332848744,267.0962893,-44.769214,265.6301477,0.461034292,-33.7788231
-1.407957197,286.2437769,-17.59884219,266.6799461,0.362610114,-22.22169388
-1.548679856,288.8728343,-69.97230975,286.8470185,-0.085082026,-56.32927664
-1.541838984,335.142655,-80.86462868,289.8832921,-0.261070448,-73.8545281
-1.56319132,396.25456,78.43217078,337.989567,-0.960793545,34.92168539
-1.566429307,462.0643847,-0.797014662,401.1726556,-1.769439832,9.408328209
-1.506447556,462.0806742,-5.557553136,464.8491694,-0.985118124,-1.281587037
-1.595155626,462.1830429,43.30924221,464.8397551,-0.993088271,30.56900528
-1.874405753,482.837511,17.39065343,465.0351476,-1.048663802,21.15589682
-1.987403321,486.6359351,22.26530691,484.5128198,-0.61557138,21.9483326
-1.849000579,492.5224871,-28.46641472,487.7210284,-0.441664846,-14.0622012
-2.847730593,499.5955633,-49.20566378,492.825569,-0.219011777,-39.16467447
-2.693900615,520.7263585,25.81905375,500.7232134,-0.503675924,7.252274258
-2.450922722,529.1278392,-11.27642567,524.197393,-0.995732562,-5.982511405
-2.474618274,529.8392568,-7.085701415,531.3111434,-0.737542024,-6.770504269
-2.221857273,530.010055,27.41786311,532.4036687,-0.850306281,17.64975814
-2.015118152,538.9860798,-55.01748178,532.7802193,-0.921163295,-34.25541323
-1.951320263,566.6114363,11.12740952,540.7275641,-0.646984664,-1.839111266
-1.768488759,568.4886678,4.029299828,569.9821954,-1.197159482,2.352610944
-1.59093288,568.8874989,33.11107505,571.4744316,-1.085885387,24.32294245
-1.465044345,581.1685729,25.23988675,571.7226678,-1.045592388,24.97790266
-1.350086474,588.3204584,25.05533134,583.2688802,-0.714481638,25.03320886
-1.439835635,595.1734376,-31.17242012,589.9363625,-0.46208277,-15.11366898
-1.407172046,604.138472,33.00266963,596.3828346,-0.211529457,19.25514431
-1.315477108,615.8192595,-20.35647708,605.8709827,-0.523253658,-9.038870968
-1.215613648,619.5626679,55.61084241,616.9992024,-0.193226962,37.13949573
-1.49180214,651.2910496,-15.34903783,621.022957,-0.396791733,-0.352313956
-1.487978966,653.4091632,19.02038869,652.0806768,0.159316691,13.48533079
-1.402344564,657.310906,-6.613822232,654.4619543,0.005826313,-0.871207082
-1.344915873,657.6688757,45.64464548,658.0413122,0.1960302,32.35440189
-1.247114984,678.7842663,11.40613207,658.5002946,0.129891978,17.39135202
-1.014007492,680.0514324,34.85842285,679.0077104,0.586338432,29.86783118
-0.853844235,691.7969731,24.06349297,680.1619418,0.700399753,25.72187532
-0.786422838,697.075578,-28.45276813,691.7032307,1.048983982,-12.97429857
-0.74700156,705.7593059,-34.00919329,696.9309981,1.289618911,-27.99922337
-1.010908452,717.8568501,-4.342327264,705.6795068,1.00509123,-11.10144044
-1.014527878,718.0605694,29.18229553,717.8137434,0.664999297,17.67265668
-1.077495986,726.2740431,-51.51870431,718.0581687,0.621576025,-31.74974403
-1.085759989,753.1308134,29.190544,726.1262915,0.91339898,11.77903314
-1.026987828,761.5127925,-42.64943551,753.3437854,0.398211937,-27.09844447
-0.978400293,779.8714836,14.04884196,761.5469747,0.690117377,2.292474409
-1.011825173,781.7981689,2.868622811,780.1434831,0.263623022,2.704008982
-0.914642297,781.8569291,11.87435013,782.0233738,0.404111441,9.254252659
-0.938365307,783.1656053,-17.87980304,782.081656,0.432797669,-10.1272157
-0.959914743,786.4650169,40.47504855,783.3747741,0.551541171,26.01725877
-0.93152882,802.4878934,1.157839724,786.7369078,0.37274314,8.260530879
-1.019030664,802.4665138,-10.64917621,802.6536445,0.777493626,-5.246402756
-1.016185569,803.6968279,31.62274905,802.6489121,0.789072023,21.08870568
-1.094716121,813.2566845,7.951864864,803.9396805,0.682580261,11.70524795
-1.041985045,813.7361806,-30.17478426,813.407962,0.998807751,-18.20906077
-0.910640203,823.2651964,-39.95996931,813.8751126,1.0783264,-33.74542401
-0.84514171,839.6422939,-61.10152973,823.5400022,0.776578557,-53.28549953
-0.902880063,877.0915123,22.52131624,839.9689549,0.376978864,0.862226021
-0.851293015,882.2227917,39.45162826,877.3902643,-0.234036433,28.42608476
-0.85206198,897.5975205,-43.92072995,882.5170563,-0.008823271,-23.25021146
-0.807771571,917.0649104,-101.0728097,897.9326848,0.385693012,-78.83778163
-0.832757454,1018.292636,-12.85858956,917.3688853,-0.053514287,-31.70978729
-0.860613092,1019.686911,69.95717857,1018.396266,-1.064242384,40.90947404
-0.867375691,1069.727147,24.20295566,1019.759472,-1.19282828,28.97624662
-0.920658782,1075.733458,18.05739063,1069.879077,-0.493256494,21.17706377
-1.166342952,1079.041045,-25.12914545,1075.917095,-0.251226938,-11.89879996
-1.363705091,1085.14429,31.58807973,1079.235912,-0.070653031,19.16325696
-1.333584455,1095.478841,-4.558245376,1085.451995,-0.321944486,2.219326721
-1.306800385,1095.644805,17.42788371,1095.533674,-0.006063689,13.08258171
-1.213715117,1098.773336,-55.7077841,1095.738819,-0.051646142,-36.05339387
-1.179862562,1129.38754,28.35587963,1098.763759,0.122632695,9.953230059
-1.08373063,1137.688918,-6.183487169,1129.623628,-0.434445146,-1.572996532
-1.08790372,1138.035409,16.17192041,1137.830163,-0.15088635,11.10194414
-1.070369391,1140.705501,26.95130239,1138.190034,-0.212721222,22.42291432
-1.014453292,1147.929171,7.424240628,1140.847993,-0.051002018,11.70957597
-0.920579565,1148.422493,16.73285785,1148.066574,0.218511006,15.29763446
-1.200151908,1151.033858,-11.94201222,1148.57981,0.292753413,-4.159256027
-1.300378083,1152.505115,39.88027522,1151.253725,0.460081991,27.29755201
-1.349285971,1168.130529,2.550929938,1152.775466,0.340661869,9.621393386
-1.518685551,1168.140857,-1.984018437,1168.249072,0.739464621,1.331813512
-1.353965029,1168.162555,43.70381017,1168.275768,0.76497392,31.59752541
-1.275558918,1186.588509,0.938194868,1168.345092,0.745133736,9.698003594
-2.263953497,1186.537534,19.46920317,1186.603016,1.182171838,16.67743186
-2.052550899,1190.203374,-8.725274901,1186.589548,1.191553786,-1.467358683
-1.889457576,1190.987141,26.59284012,1189.87817,1.386245818,18.57564046
-1.968969565,1197.608695,-22.02488085,1190.873768,1.298993069,-10.4247319
-1.799913356,1141.514375,-15.64702374,1197.183964,1.56492147,-14.15494036
-1.659657865,1142.931367,2.470572406,1143.234658,2.098628867,-2.279574098
-1.548031172,1129.909676,38.19417811,1144.552074,1.789413056,26.63024891
-1.498389162,1143.28567,-10.86458014,1129.642332,1.41188297,-0.151771841
-1.478967305,1144.755656,3.632309372,1142.966654,1.802595614,2.551143311
-1.424372231,1143.955363,37.83834985,1144.38971,1.636682198,27.75629084
