return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewm
0,235.16629,5.929853709,234.4835877,-0.383059433,6.858031158
0,235.21878,6.243354157,235.1662793,-0.297352968,6.195047266
0,235.34692,-5.801398012,235.2187647,-0.293008426,6.229552188
0,235.34584,5.725751057,235.3469149,-0.282475755,-2.363983669
0,232.58713,1.892381373,235.3458277,-0.282377337,3.414398278
0,232.33829,14.59201663,232.5871245,-0.020269085,2.327243346
0,233.31668,17.76308761,232.3382781,0.06017916,11.08779569
0,235.49706,6.258313111,233.3166889,0.360209848,15.85586135
0,232.2981,-22.77571278,235.4970416,0.687453818,9.000469751
0,238.7384,17.08876856,232.2981284,0.95568341,-13.69680348
0,236.77225,-3.630718078,238.7383714,0.644241774,8.292890831
0,231.66887,-15.03818665,236.7722177,0.591683553,-0.223972675
0,233.85365,-5.066746094,231.6688403,0.791085721,-10.80555408
0,233.7821,-6.442687104,233.8536315,0.514969995,-6.70640552
0,234.19072,6.175184288,233.7821055,0.379043898,-6.518035223
0,228.434,-17.98143531,234.1907702,0.260476869,2.548550142
0,220.36302,-22.85223839,228.4340184,0.596963327,-12.11572518
0,226.41951,6.799318693,220.3630201,0.006079641,-19.78466319
0,217.40585,1.076000941,226.4194972,-0.244798022,-0.796104701
0,196.59488,-18.67107018,217.4058636,0.171054421,0.541113614
0,196.456,-11.42249198,196.5948917,0.67361239,-13.18187481
0,197.42015,11.90311869,196.4560072,0.677173928,-11.92517279
0,191.17433,17.31580775,197.4201384,0.443830719,5.09503541
0,187.72054,-11.19797326,191.1743394,0.877711708,13.82415851
0,177.48828,-3.867360657,187.7205529,1.345791085,-4.048792753
0,176.96535,-10.97252007,177.4882808,0.825427841,-3.919198399
0,176.45341,23.25588982,176.965339,0.67568538,-8.957285306
0,182.48688,-11.94756693,176.4534231,0.384364079,14.0521255
0,184.31909,-1.616149759,182.4868874,0.626400483,-4.519083377
0,184.03497,-5.477480442,184.3191093,0.471697831,-2.445559364
0,183.8207,38.00698281,184.0349487,0.385021978,-4.611217277
0,198.87418,0.17498806,183.8206839,0.232364208,25.83035421
0,197.66011,3.255081167,198.8741895,0.805360441,7.505092675
0,197.25839,-5.177592494,197.6600994,0.917072766,4.469370169
0,195.28838,-12.6392747,197.2583686,0.870703663,-2.421317447
0,195.66008,3.530216514,195.288364,0.967267426,-9.719858339
0,193.63441,-10.07828268,195.6601091,0.665143652,-0.255519158
0,193.082,17.22852556,193.6344161,0.541409272,-7.271778817
0,191.78653,6.570918379,193.0820075,0.270710862,10.22843859
0,186.11221,17.03970089,191.7865283,0.70015581,7.615924155
0,181.38237,24.60069764,186.112208,1.034203363,14.34719325
0,175.24678,-0.228660535,181.3823491,0.920921992,21.67112496
0,172.03485,14.26760528,175.246792,1.57988161,6.028421034
0,173.04985,1.316209517,172.0348503,1.364454518,11.91355264
0,173.03467,13.0444167,173.049846,1.617974088,4.344021838
0,172.31787,-18.74805837,173.0346922,1.600734967,10.5585896
0,176.7651,2.79339193,172.3178472,1.572425742,-10.37473038
0,176.43895,-8.207238978,176.7651096,1.400313516,-0.96892873
0,177.20032,26.17220393,176.4389488,1.480190674,-6.139150336
0,184.33617,-0.981169479,177.2003088,1.305612569,16.94038842
0,181.1786,3.085737746,184.3361589,1.619871639,4.139275636
0,181.1919,6.165296745,181.1786169,1.7836124,3.386748572
0,179.08717,-3.272598675,181.1919158,1.807391142,5.371425838
0,173.22044,-31.42412174,179.0871697,2.022507698,-0.802877385
0,155.4872,-4.521308212,173.220451,2.229280966,-22.67519478
0,151.22176,-39.34769445,155.4872057,2.437404405,-9.708132946
0,170.36292,32.12140499,151.2217464,2.119538421,-30.8792483
0,181.05551,7.172311719,170.362916,1.736975758,14.12121833
0,179.07312,-14.86913265,181.0555236,2.068070172,9.157713609
0,181.94795,4.530922569,179.0731273,1.964407285,-8.004319432
0,182.00905,-30.76319418,181.9479192,1.838567513,0.949424854
0,193.58167,15.18855597,182.0090384,1.8534604,-21.70244589
0,195.11597,5.752761045,193.5816748,1.57050485,4.648269722
0,195.29044,-2.883367665,195.115977,1.813906145,5.437192096
0,194.82457,11.20544805,195.2904491,1.851402995,-0.506064877
0,194.33797,-1.60088379,194.8245656,1.888262457,7.859301496
0,194.48738,-0.539820173,194.3379634,2.128494141,1.102026291
0,194.21729,-5.114414033,194.4873891,2.097087668,-0.070721183
0,194.75081,-17.03160185,194.2172886,2.002544458,-3.673358933
0,197.90437,-18.4804953,194.7508076,1.945180759,-13.21496102
0,200.73941,-20.30041076,197.9043667,1.614877167,-16.97605693
0,205.9514,22.369664,200.7394338,1.234123583,-19.35059538
0,210.04187,21.01666949,205.9514021,0.937932721,10.44958989
0,214.60016,9.029875667,210.0418687,1.066556336,17.99750389
0,205.69136,19.41730699,214.6001709,1.327000263,11.59205516
0,209.52829,24.78862323,205.6913683,1.082482946,17.18152075
0,215.12029,-13.68595274,209.528311,1.266751718,22.61516538
0,215.56367,-5.984821157,215.1202974,1.44134423,-3.314204709
0,213.765,28.96737578,215.5636811,1.426021777,-5.221787886
0,222.73607,-6.2998025,213.7650119,1.171502894,19.1990433
