date,excess_log_return,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
3/31/2010,4.787018683,1.056403457,0.993294242,1.322064789,0.904758425,1.020309978,0.438493936,1.259512269,0.901184225,1.408885779,1.297471107
4/30/2010,4.872992459,1.02996649,0.993179574,1.474118029,0.813294262,0.973799224,0.433602058,1.267548979,0.896760471,1.32083627,1.373981233
5/31/2010,-3.67884638,1.060137383,0.99307517,1.501666864,0.736227603,1.143914993,0.429143207,1.294839781,0.892552937,1.253860579,1.392831368
6/30/2010,-3.149030849,1.033421788,0.992989711,1.472352143,0.665711516,1.118978253,0.424815656,1.266113655,1.018201929,1.173618629,1.380194691
7/30/2010,3.394544253,1.031690557,0.992877062,1.378616328,0.741939728,1.118686574,0.420762008,1.268381823,1.080710629,1.182424382,1.361775488
8/31/2010,-3.215961125,1.042822182,0.99276411,1.356747509,0.724690212,1.087166178,0.416965552,1.257325305,1.119658615,1.168256763,1.340626591
9/30/2010,7.105390413,1.015663945,0.992669456,1.343213275,0.66455465,1.031455407,0.414103212,1.231294559,1.113615941,1.092054155,1.334355246
10/29/2010,5.893151729,0.991527016,0.992566557,1.257738012,0.882447623,1.038200356,0.410736891,1.203328195,1.109291515,1.024902495,1.317269958
11/30/2010,1.342721096,1.05397076,0.992453238,1.203900128,0.849381907,0.981467665,0.407694807,1.173981941,1.106904272,0.967233334,1.296729559
12/31/2010,2.40816107,1.026489352,0.992369293,1.136012252,0.944189019,0.927850004,0.404826363,1.149161792,1.101124911,0.924554936,1.289466592
1/31/2011,2.088718922,1.022741587,0.992257183,1.083818089,0.848873504,0.877672506,0.402082309,1.156947708,1.096658091,0.939373657,1.269204665
2/28/2011,3.652533509,1.000595642,0.992144495,1.042621852,0.909676676,0.854886228,0.399524687,1.128668891,1.091340983,0.906508673,1.252586285
3/31/2011,2.503713742,0.974235502,0.992046129,1.065501349,0.848294546,0.825178003,0.397141897,1.111006503,1.085927696,0.855674858,1.233095488
4/29/2011,3.205457681,0.951118168,0.991936487,1.030435628,0.776485783,0.783415939,0.394911535,1.08611667,1.080990697,0.895940354,1.214605681
5/31/2011,0.533639107,0.930619727,0.991828189,1.025021315,0.705382706,0.741522795,0.392828563,1.060099155,1.075777534,0.880671401,1.196492419
6/30/2011,0.254246958,0.925734911,0.991876172,0.962047036,0.699643883,0.707580779,0.39089849,1.041938614,1.071404277,0.877931421,1.179058417
7/29/2011,-1.266979899,0.928416172,0.991764289,0.902240145,0.67431925,0.678720757,0.389093187,1.022562903,1.065801787,0.842399428,1.161976496
8/31/2011,-6.89498881,0.904531653,0.991654337,0.841585243,0.607655705,0.642188844,0.387407057,1.00928642,1.060172215,0.792035863,1.144018362
9/30/2011,-7.941697531,0.975238562,0.991561299,0.796241065,0.553408384,0.638980301,0.386225308,1.059266902,1.054594814,0.748097333,1.141224809
10/31/2011,13.37382716,0.995529755,0.99145179,0.749899558,0.781797591,0.686545372,0.384765867,1.124696028,1.049110324,0.844422635,1.155350346
11/30/2011,2.082407596,1.005405827,0.99134242,0.708735288,0.915916316,0.698307051,0.383378984,1.162919349,1.04357649,1.053521638,1.166936347
12/30/2011,-0.707954737,1.11689921,0.991267372,0.793791271,0.825367701,0.66073044,0.382284628,1.207792242,1.038343483,1.000618243,1.172270685
1/31/2012,2.496849269,1.090690594,0.991176613,0.78542104,0.799612438,0.869770944,0.381189421,1.18230604,1.033029164,0.944664018,1.158792939
2/29/2012,-2.122316883,1.158230471,0.991069946,0.805391622,0.792205063,0.829388245,0.380312857,1.210208583,1.029225616,0.935319795,1.160759197
3/30/2012,-0.347576012,1.145591352,0.990960484,0.774305241,0.895691674,0.948955092,0.379271115,1.181983331,1.023845695,0.874207191,1.16669318
4/30/2012,4.311020659,1.117045859,0.99085064,0.742426377,0.805217616,0.897212514,0.378273473,1.159266815,1.018713046,0.849354182,1.198862423
5/31/2012,-5.229528754,1.098342227,0.990742752,0.712318506,0.729754346,0.876237329,0.377382636,1.142139902,1.013416007,0.806818314,1.195838167
6/29/2012,4.810634572,1.116960706,0.990711831,0.686239762,0.657074098,0.90341388,0.376610758,1.16163582,1.008430852,0.754210206,1.203613795
7/31/2012,2.165017138,1.126340145,0.990602466,0.651203851,0.669898809,0.927361498,0.375811653,1.139255702,1.003198393,0.734394727,1.199389806
8/31/2012,0.358408975,1.107622412,0.990493264,0.664885637,0.609935588,0.889875581,0.375092313,1.123193183,0.99808641,0.686810078,1.194678523
9/28/2012,-4.249450073,1.078258874,0.990401428,0.620679871,0.560333687,0.895086663,0.374797348,1.096026986,0.993553443,0.643956531,1.182425383
10/31/2012,0.877861728,1.077924706,0.990293516,0.617016528,0.630147118,0.889360105,0.374137264,1.087099936,0.988438014,0.623952698,1.164202247
11/30/2012,-1.153403791,1.056703486,0.990185709,0.574853799,0.570493368,0.841419862,0.373505591,1.063385889,0.983349899,0.597734055,1.147933999
12/31/2012,1.886497626,1.037800644,0.990113422,0.53578573,0.537685101,0.798898533,0.373039384,1.043797498,0.978538605,0.567438111,1.137220282
1/31/2013,6.323144753,1.017301563,0.990007432,0.514126609,0.487547814,0.761592367,0.372484823,1.018891584,0.974272459,0.542272092,1.119700925
2/28/2013,4.235250263,0.991039768,0.989900725,0.479000573,0.451890588,0.720384808,0.371992226,0.999004218,0.969922106,0.52231179,1.102506821
3/29/2013,4.022547419,1.001599228,0.989807952,0.450198771,0.437462234,0.682202124,0.371519607,0.978552039,0.968293104,0.489317254,1.086152039
4/30/2013,0.464145141,0.976539323,0.989703787,0.419974867,0.434612227,0.662870906,0.371081652,0.955555758,0.970350724,0.505046704,1.070198937
5/31/2013,1.569798543,0.956107203,0.989596581,0.399572741,0.449601298,0.629040413,0.370671443,0.934458623,0.97419062,0.539540441,1.058383511
6/28/2013,-3.042288295,1.033828395,0.989683403,0.376437553,0.411634141,0.595842957,0.370400878,0.925325124,0.969381765,0.556718749,1.045650229
7/31/2013,2.163427159,1.006754159,0.989580851,0.38298635,0.418691001,0.574541077,0.370031661,0.91270411,0.965450264,0.562649652,1.032355547
8/30/2013,-1.116669498,0.991120386,0.989475374,0.409601638,0.425457853,0.549216897,0.369690964,0.900095388,0.961704844,0.52694547,1.020550008
9/30/2013,2.783157721,1.153863329,0.989408924,0.383640885,0.458616184,0.607326117,0.369615926,0.933978581,0.956978182,0.5412094,1.066462752
10/31/2013,3.361122562,1.125351813,0.989304961,0.359608595,0.465463239,0.576304858,0.369304245,0.915226305,0.952157394,0.507107773,1.06400576
11/29/2013,2.445997317,1.113583106,0.989198662,0.344930679,0.477385867,0.569615689,0.369043166,0.904968447,0.947340007,0.524569645,1.0517177
12/31/2013,2.946785692,1.15768061,0.989096876,0.623733682,0.591870899,0.547620995,0.36878031,0.92727879,0.943285095,0.496199375,1.060958913
1/31/2014,-3.142670298,1.129175247,0.988990958,0.58043178,0.587099265,0.537740307,0.368543888,0.907522901,0.938538702,0.556591536,1.049492609
2/28/2014,-0.629845799,1.099767679,0.988884946,0.582047907,0.531348433,0.50930435,0.368312618,0.887387548,0.933823915,0.576323389,1.041193793
3/31/2014,3.835959143,1.07249413,0.988794018,0.55668664,0.709828738,0.509520305,0.368150084,0.8986495,0.929428243,0.548926949,1.027226403
4/30/2014,-0.74548026,1.049959863,0.988688913,0.577914668,0.639806323,0.512495153,0.367962033,0.878230454,0.924910647,0.525115689,1.012074352
5/30/2014,3.762232378,1.024197006,0.98858723,0.567404618,0.577021151,0.485529903,0.367769275,0.86934244,0.920593934,0.513381716,1.003233827
6/30/2014,1.333110701,1.006483126,0.988603404,0.638602015,0.592775016,0.54076574,0.367621586,0.856209605,0.916140661,0.493358094,0.988208137
7/31/2014,-0.673766103,0.980014887,0.988499697,0.594409983,0.725829269,0.512137982,0.367454625,0.838547057,0.912927618,0.470941543,0.974276852
8/29/2014,3.7901141,0.954554008,0.988394809,0.566821342,0.681829319,0.525488639,0.36730675,0.822277583,0.909493784,0.447167883,0.959906867
9/30/2014,2.739212438,0.938996696,0.988293356,0.527955974,0.695290848,0.498812112,0.367703655,0.934245957,0.90530498,0.426397242,0.965336561
10/31/2014,3.19656757,0.916621543,0.988188824,0.564326345,0.814429699,0.473673151,0.36754052,0.923377362,0.900880866,0.417792097,0.966986742
11/28/2014,0.337435057,0.937762747,0.988084668,0.535507437,0.80131779,0.463102206,0.367464771,0.928880855,0.896695029,0.39402436,0.98150036
12/31/2014,0.384853628,0.919773579,0.987980793,0.503073658,0.724058418,0.445263602,0.367311458,0.922240131,0.895265144,0.405200802,0.979167857
1/30/2015,-4.709685824,0.895612761,0.987877314,0.532484094,0.65408173,0.42378667,0.367167596,0.901018863,0.891861572,0.389362455,0.964651667
2/27/2015,3.269461226,0.874438293,0.987775547,0.495959393,0.608893519,0.410329815,0.367042246,0.89092914,0.888361577,0.387062727,0.950471311
3/31/2015,-5.576444125,0.85893989,0.987673108,0.477762606,0.676831559,0.442639156,0.366917464,0.904849745,0.884262175,0.393105061,0.947180126
4/30/2015,0.844526459,0.855842272,0.987570637,0.489133362,0.65101682,0.43554122,0.366813559,0.891180418,0.881221975,0.370198529,0.954621033
5/29/2015,-5.259172754,0.834812547,0.987467833,0.512713796,0.603184014,0.432198221,0.366727393,0.87173656,0.877663844,0.377077624,0.955609116
6/30/2015,-2.491108469,0.885248862,0.987607141,0.701777222,0.795069273,0.42743113,0.366747061,0.862917997,0.873782249,0.355739306,0.941592636
