return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewm
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,-249.9420804,0,0,0
-2.184663773,0,-44.183604,0,0,-178.5300574
-2.102805138,0,-52.64498808,388.0037469,-1.562138002,-82.56830497
-2.221020699,0,73.85520957,399.2659213,-1.838285527,-61.19450719
-2.517049313,0,85.17154517,415.2697956,-2.167316703,35.26957621
-0.348947942,0,-202.8050874,451.1487708,-1.705721643,70.91383975
-3.822826385,0,-63.8180738,498.0200915,-1.173399486,-124.5996796
-3.747727394,0,35.49949293,750.5007089,-2.440931282,-81.18424689
-5.486814022,0,-332.3266972,773.849089,-2.839794243,2.161281554
-3.613774776,0,-409.3851788,782.9363401,-2.617922412,-236.7587032
-8.335970879,0,-304.1678675,1458.003629,-4.694964269,-360.0633287
-11.61563683,0,22.6754098,2474.907695,-7.253621637,-320.1379993
-9.072816849,0,-73.01392084,3021.952797,-9.154670809,-75.27127851
-7.72949028,0,-186.1793848,3027.741125,-9.012949498,-73.65888017
-10.94223595,0,158.3418814,3052.625951,-9.469286503,-154.0306692
-11.48023415,0,315.6115149,3245.876883,-10.63290766,69.0925812
-7.493720531,0,95.00920211,3422.643881,-9.6432709,245.1775339
-5.23709631,0,50.04057744,4079.36336,-7.670698931,137.9144398
-2.607141018,0,170.6105902,4144.537768,-7.076891418,75.14739525
-7.280901909,0,51.93424136,4164.516971,-6.764137809,143.3353916
-6.705289841,0,126.7714945,4359.730194,-5.69782162,78.04885573
0.730101109,0,-137.7987119,4380.181021,-5.373232612,112.8507406
-3.19752264,0,76.19427983,4488.51173,-4.580910771,-66.18458261
-3.000101805,0,163.2715771,4598.557478,-5.44215272,35.51460485
-3.714926243,0,-117.5518197,4639.798761,-4.965938471,126.7695851
-1.910734653,0,100.7443064,4815.502456,-3.945491114,-47.74570403
-0.016251564,0,117.472003,4895.530367,-4.680189987,58.31858911
-2.322586298,0,72.37624713,4964.461532,-4.050538072,100.5710276
-2.525755882,0,-158.8628234,5056.118239,-3.316338054,80.4318987
-2.667591572,0,-127.6013979,5091.653426,-2.863986509,-90.49290284
-4.670487881,0,128.530109,5242.714057,-3.856879156,-116.9989708
-3.583494186,0,-143.6139651,5337.689477,-4.654387893,58.37894335
-5.618100643,0,226.2930483,5447.771958,-3.851074711,-85.90170552
-0.266001225,0,80.53160013,5568.959012,-4.748661993,137.0945472
-4.639601231,0,41.46271856,5900.444441,-3.334330441,96.69244215
-3.076486349,0,137.8839407,5944.080961,-2.83100794,57.24263958
0.476406991,0,68.84868326,5956.225804,-2.571865949,114.8435689
-4.119645596,0,80.35532704,6078.740768,-1.71009132,81.99007916
0.664297342,0,-9.307591752,6109.653208,-1.27978705,80.82239907
0.48314786,0,0.820398202,6151.04257,-0.777566256,16.4438342
-20.15754509,86.11671319,-75.921222,6151.490165,-0.835738704,5.284237058
-2.697999716,0,-91.22326501,6151.502916,-0.830611216,-52.71966227
0.469666123,0,-122.876585,6186.514695,-1.305118853,-80.22223566
0.5,0,-200.0743094,6236.71194,-1.87526426,-110.6896281
0.429220974,0,-231.5372142,6327.608418,-2.643242916,-174.535829
0.442702681,0,222.3052104,6569.620002,-3.89370735,-215.2511042
0.5,0,-57.99666717,6891.315915,-5.340814939,97.28912049
0.415739238,0,-36.40578548,7213.09914,-3.951407374,-13.62929927
0.5,0,193.6345122,7231.125726,-4.313886544,-29.89821799
0.5,0,27.9695903,7237.394456,-4.541422703,129.7680179
0.449443549,0,11.9260474,7481.261563,-3.331207002,57.05485532
18.69783211,156.7660984,-88.17889807,7487.285023,-3.156397062,24.81999252
1.772678852,0,-171.3616743,7488.63895,-3.081859266,-55.89350076
-3.456645966,102.1578382,33.73972118,7533.53527,-3.632977379,-138.3707675
-10.06196594,142.2467553,-39.45362703,7708.136439,-4.703987843,-15.43470417
31.1336174,207.5039938,34.13093586,7717.190667,-4.493114586,-32.59107764
-1.484122753,0,2.535539381,7724.642671,-4.739699755,15.06750343
-17.88016891,142.9823891,-71.4119511,7733.900051,-4.526381405,6.116100539
-11.75344753,169.1217689,14.93580225,7734.083442,-4.510534284,-49.26107921
0.5,6.900283825,61.32109356,7761.730827,-4.956858979,-3.406163882
-24.00689316,194.101673,103.6081215,7764.041785,-4.863510215,42.82759143
-14.5723362,181.1444826,24.14850737,7791.124575,-4.48025338,86.24225575
-0.134340286,257.1254922,57.54056326,7863.599154,-3.832702621,41.88957834
6.755546093,0,-10.69356473,7868.37799,-3.68177445,53.06885328
-5.006269455,0,115.2361996,7891.590027,-3.322145929,7.524268984
1.552730083,0,-1.809643209,7891.856192,-3.388980709,84.46136232
-10.53007984,0,119.5391583,7979.215268,-2.668754461,22.83921551
-2.842191219,0,-75.8782892,7979.175239,-2.680064731,91.91060325
-10.92591572,151.2825484,110.2039174,8071.931774,-1.932944991,-27.93860565
5.427713871,138.4288925,50.25387237,8105.857982,-2.407184299,70.73462511
4.121225357,0,70.38098769,8184.605232,-1.718409815,56.10551601
-3.212615728,0,51.02581354,8201.370114,-1.404323113,66.3022815
1.708647966,6.657762553,-23.67750254,8233.371361,-0.96444194,55.39051867
3.445566654,7.644203736,92.6221371,8250.157509,-0.645530605,-1.086639339
37.26034164,219.0610942,17.57462921,8253.448454,-0.793514996,65.84820097
-0.969279766,0,-97.66148477,8307.649932,-0.214626639,31.36707828
11.33703232,141.6125028,1.674784826,8309.615439,-0.104785207,-60.79618104
-7.924570084,0,67.45168176,8368.725987,-0.715169486,-16.17406256
-2.304548264,0,-105.0827958,8368.75838,-0.704702081,43.55861195
7.18854475,0,104.240003,8397.610631,-0.28312907,-62.61382213
3.150863647,0,-126.9553566,8465.82235,-0.939896544,56.56748156
5.594828606,0,27.15449134,8534.534947,-0.288396525,-74.52026001
5.0691576,0,-4.059958431,8634.183074,-1.081867504,-1.895437614
0.085311413,0,18.53279,8639.13003,-0.912151933,-3.441523912
0.838246822,0,-65.81339953,8639.186115,-0.937526673,12.2544146
-0.5450809,0,128.0932599,8641.536538,-0.821696736,-43.50830978
11.83171558,0,-45.17584019,8667.762631,-1.233030483,79.06423997
0.292854071,0,-31.86905306,8771.645255,-0.432447608,-9.678674426
-2.296694756,0,31.83780266,8784.076685,-0.71479661,-25.52894488
1.701802731,0,-88.20694624,8790.099991,-0.913978191,15.44730336
0.66213274,0,-87.14490355,8796.759419,-0.714991925,-58.59144635
0.928022385,0,-77.8387835,8844.295063,-1.266285339,-78.98677292
-3.828651428,0,-68.28701659,8890.082998,-1.810940986,-78.16678048
7.383955956,189.1821347,121.9730494,8925.952281,-2.297433383,-71.10980627
-3.528826237,9.225283897,8.233671043,8952.953546,-2.724227236,66.80651921
-3.858472824,0,-89.21924651,9049.509831,-1.961895678,24.96877052
1.347579479,7.888448264,-130.3407938,9050.132811,-1.910435233,-56.59409879
0.462925255,0,32.85343662,9097.441738,-2.468055524,-109.2703095
-2.590712547,0,71.80330476,9198.936528,-3.282685485,-7.753347986
0.250449598,0,-34.51690106,9206.988386,-3.077351507,49.07283255
-1.439931154,0,32.00549112,9241.772257,-2.628580852,-10.63412003
-2.051089764,0,-31.73392908,9248.03794,-2.844311483,19.82274507
-15.98636246,117.3383193,105.272413,9255.538042,-2.644277164,-17.00345075
-2.475961208,0,20.43861341,9260.743803,-2.842614221,70.33645191
-1.253007054,0,29.3586606,9333.315768,-2.18466164,34.6951387
