return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewm
1.679765463,1.914130123,-1.177808047,18.32072019,-0.634192706,-1.539560775
-0.098861873,0,0.319780094,18.32455745,-0.651875872,-1.281165969
-0.703067064,0,4.224443032,18.32262029,-0.665732438,-0.137633067
-0.469160795,0,-0.66032768,18.32881832,-0.661970319,2.978135575
-2.349789619,2.620695423,-17.88729135,18.60209925,-0.612270989,0.37923325
-1.899157047,0,-6.595648926,18.59765576,-0.62003955,-12.66828432
-2.731509924,2.413735824,0.828750887,22.05658937,-0.830478272,-8.330687611
-1.347855806,0,-3.002072785,22.43348,-0.908074142,-1.788231541
-1.38809073,2.521561169,-0.15005865,22.45917273,-0.898324131,-2.655261001
-1.253466487,0,3.798629033,22.50049913,-0.933642635,-0.86583075
0.745642304,17.26851644,-0.429728055,22.49746443,-0.93540803,2.465926238
-1.054731965,0,1.584419384,22.74883336,-0.890718277,0.397601743
-0.960404277,7.89E-31,-1.084095868,22.74197407,-0.895773901,1.245328629
-2.021914482,16.73557144,-2.338694381,22.80455541,-0.877133673,-0.418546011
-8.159460068,15.80684802,-3.762090708,22.57015651,-0.931802625,-1.790080561
-0.066531301,2.124391834,-0.978465263,21.82843609,-1.042460716,-3.198659237
-1.947827578,7.89E-31,-7.793545194,21.91256771,-1.069417659,-1.612806398
-0.301234961,7.89E-31,-4.761102404,21.83494141,-1.038297639,-6.027619824
-0.348249614,3.16E-30,-4.694304841,22.29063978,-1.14636293,-5.122964524
-0.295074642,0,-6.145702597,21.91343742,-1.109955313,-4.816779036
-1.912183285,3.16E-30,-4.654381747,20.21423665,-1.00502123,-5.766010151
-1.32373023,7.89E-31,-8.231672772,20.52148955,-1.065417958,-4.971989862
-0.623890042,1.97E-31,13.85141591,20.16020033,-1.184238413,-7.300334798
3.139181852,16.52634865,-1.275393186,20.64861873,-1.233998176,7.808058567
-1.259392977,0,0.736706359,23.29321894,-1.054328279,1.319878743
0.856391668,3.531307729,2.73726074,23.27316398,-1.041413169,0.90332704
-0.012873888,7.89E-31,-1.185538965,22.20204121,-1.134238044,2.213279683
-0.978908777,1.97E-31,0.341399805,22.31941543,-1.114945162,-0.214447923
1.203358889,15.041726,-0.914172979,22.29125978,-1.097653453,0.182586169
-1.1666255,7.89E-31,-1.303341776,22.19163705,-1.04299399,-0.600813223
0.122984231,7.89E-31,10.21490721,22.08294329,-1.077078718,-1.102619332
-0.971885324,1.77E-30,4.424606609,21.99440172,-1.111904016,6.981328197
-2.578083038,2.295950337,-1.725277002,23.3906312,-0.946857208,5.155098491
-3.029918194,3.455359279,0.147368567,23.58212924,-0.925317643,0.240544568
-0.83846581,1.97E-31,-1.903369227,23.52873412,-0.96121645,0.173990282
-1.401684046,3.142460983,-1.000350965,23.36566799,-0.902913557,-1.309837939
0.021282375,0,2.175604795,23.22783701,-0.956236296,-1.088775815
0.415739238,7.89E-31,-0.850253924,22.5908783,-1.042811792,1.242924621
0.415739238,0,3.096972649,22.64236014,-1.033705979,-0.252202911
0.415739238,3.16E-30,1.202887652,22.49713661,-0.990424352,2.140065346
