return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewma
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,-59.95462255,0,0,0
-0.461189404,27.43774099,53.87919757,0,0,-42.82473039
-0.046734038,27.43609218,102.4007603,27.43774099,-0.461189404,26.24950387
0.740964118,27.43441762,-65.70016215,49.97877513,-0.046734038,80.64325849
0.235578255,27.43271668,66.03341719,130.0928215,0.740964118,-23.88775626
0.743527618,27.43098874,90.73382177,163.7902853,0.235578255,40.34165335
1.441480094,27.42923316,66.49182419,196.8345813,0.743527618,76.33605937
1.952955664,34.04042847,-124.5953144,258.6374453,1.441480094,69.30446281
0.994530169,194.8004988,-82.05648296,290.910218,1.952955664,-69.19537809
0.363326453,228.0808823,45.87077326,413.1504896,0.994530169,-78.38188157
0.716178555,226.6697283,-110.3687954,465.8019307,0.363326453,10.37001473
-0.132812179,367.5010286,152.4103222,481.6066238,0.716178555,-75.87199253
1.039574915,526.4927524,29.96902438,575.8039811,-0.132812179,87.18680371
1.270105872,549.3095128,8.651193942,753.4247989,1.039574915,46.31696133
1.336653518,543.8777368,114.7681223,759.8011339,1.270105872,19.41284177
2.219485228,586.3186536,47.38299287,760.2033767,1.336653518,87.52375644
2.583969788,627.2567494,69.88348006,858.3848424,2.219485228,58.85178246
3.121535019,633.0528437,45.22891814,873.9044265,2.583969788,66.73156646
3.469449774,630.1954031,41.48760813,908.4042746,3.121535019,51.37253195
3.788585222,630.3715272,-31.92855984,921.8469817,3.469449774,44.31187208
3.542980915,644.7348876,-41.28061048,932.7708519,3.788585222,-10.14557929
3.225437758,611.5620351,-89.01985414,942.4133079,3.542980915,-32.38488728
2.540669649,718.5253143,-132.9473095,957.6709483,3.225437758,-72.83843504
1.517998037,908.9924088,-159.0248171,1022.577352,2.540669649,-115.7733454
0.294730213,1287.513372,122.768685,1162.689475,1.517998037,-146.6672538
1.239104713,1374.368983,-30.87870186,1359.43687,0.294730213,45.78698822
1.001576237,1419.751292,-24.55625684,1473.927971,1.239104713,-8.974218979
0.812681954,1426.119434,143.8856914,1481.794767,1.001576237,-20.10424602
1.919494964,1490.439951,27.41708161,1486.776007,0.812681954,97.03142354
2.130395592,1507.034955,32.2605655,1643.006553,1.919494964,47.30689359
2.378553788,1519.530912,-22.62540331,1647.934708,2.130395592,36.55951638
2.204512224,1529.979565,-141.5207237,1654.821499,2.378553788,-5.715426254
1.115891273,1689.508344,52.27012971,1659.556904,2.204512224,-102.7192101
1.517969194,1717.339891,-28.36653279,1817.233989,1.115891273,7.987461176
1.299765095,1701.690614,51.07488428,1837.191637,1.517969194,-17.97967737
1.69264882,1713.058718,55.56088227,1843.996172,1.299765095,31.34500952
2.120040222,1724.350758,-50.99849827,1862.886992,1.69264882,48.64206149
1.727744082,1758.60994,2.920026601,1885.003725,2.120040222,-22.52976691
1.750205825,1756.877193,31.53535565,1906.51971,1.727744082,-4.351342975
1.992785484,1755.852037,60.99581114,1906.507178,1.750205825,21.28201319
2.461984031,1785.448425,-13.13484508,1913.24904,1.992785484,49.64901173
2.360946761,1790.796945,23.45128951,1939.778015,2.461984031,4.803399721
2.541341296,1797.094693,-25.68158376,1941.59242,2.360946761,18.123321
2.343790652,1803.24343,61.09186919,1944.938558,2.541341296,-13.16589669
2.813728107,1825.075896,-14.28143477,1950.977033,2.343790652,39.87536465
2.703870916,1838.388536,99.33105714,1977.262679,2.813728107,1.191936495
3.467955971,1920.55908,-29.40024105,1979.437745,2.703870916,71.29130838
3.241800271,1923.023002,87.97851099,2050.619321,3.467955971,-0.631226929
3.918558048,1944.970054,59.20340315,2058.785802,3.241800271,62.66144302
4.373968841,1959.84537,55.30124462,2113.480116,3.918558048,60.19141454
4.799363031,1976.166819,32.09544501,2136.665478,4.373968841,56.69843602
5.046251069,1960.113747,10.53775701,2156.288024,4.799363031,39.12487101
5.127310738,1966.044924,45.60105527,2161.781241,5.046251069,18.70550387
5.478088087,1971.872552,-22.0090094,2161.810763,5.127310738,37.91661202
5.308788014,1983.227199,-109.2863412,2174.086447,5.478088087,-4.887403279
4.468123852,2136.238488,34.28644542,2179.638792,5.308788014,-79.45807319
4.73186574,2145.194216,38.870394,2279.731002,4.468123852,1.788011528
5.03086877,2157.974979,-78.43867319,2286.347351,4.73186574,28.27542758
4.427494361,2191.361149,31.09540063,2295.05063,5.03086877,-47.94893011
4.666689751,2202.94472,-93.07945562,2348.085452,4.427494361,8.511306131
3.950693938,2268.487073,71.75336735,2353.348042,4.666689751,-64.05352369
4.502642918,2303.372117,9.704317386,2426.162553,3.950693938,32.95139848
4.577291513,2307.445331,39.91013082,2461.10094,4.502642918,16.34634056
4.884292519,2320.709526,-40.45191594,2461.147549,4.577291513,33.17761931
4.573123935,2336.737596,86.45276777,2470.495284,4.884292519,-19.41490587
5.238145226,2395.114518,14.61428089,2486.0255,4.573123935,56.20486101
5.350562771,2396.741605,-51.71483119,2536.993729,5.238145226,26.49730378
4.952756377,2420.718184,23.72369916,2537.446274,5.350562771,-29.36850692
5.135246371,2423.363974,2.025642938,2562.11749,4.952756377,8.554497421
5.150828239,2417.022255,-41.47346178,2564.605868,5.135246371,3.891029933
4.83180161,2428.410322,-91.77980597,2564.477155,5.150828239,-28.51217843
4.125803103,2488.424884,-101.3899021,2580.893019,4.83180161,-73.70334096
3.345880779,2582.860929,58.70507961,2652.013481,4.125803103,-93.47945607
3.797458314,2613.198239,54.79443481,2736.917062,3.345880779,15.2237837
4.218953967,2636.512566,-36.94962586,2760.201185,3.797458314,43.4885345
3.934726076,2646.356077,-140.4963217,2779.917919,4.218953967,-13.96729433
2.853985139,2825.32322,-17.90361836,2792.737536,3.934726076,-104.3451711
2.716264998,2832.892789,78.8747004,2951.9145,2.853985139,-42.60120484
3.322993462,2860.218137,38.6507889,2955.147325,2.716264998,44.1672989
3.620307223,2862.573569,-30.53078471,2999.338661,3.322993462,40.22693462
3.385455033,2895.558202,21.73997039,3008.765733,3.620307223,-10.31429347
3.552685575,2879.756098,104.3269978,3017.581274,3.385455033,12.58160929
4.355200942,2951.584746,22.69844898,3020.056592,3.552685575,78.11402966
4.529804396,2949.849858,45.21104157,3097.43441,4.355200942,38.53147203
4.877581639,2947.06484,-106.3954403,3099.846285,4.529804396,43.30259313
4.059155175,3083.153226,76.42472002,3112.297982,4.877581639,-63.62457363
4.647037637,3107.517458,-31.83640357,3206.688888,4.059155175,36.41063612
4.402142224,3124.382639,50.48938217,3246.499422,4.647037637,-12.33724937
4.790522087,3117.678565,22.2660244,3256.512114,4.402142224,32.53891601
4.961799198,3119.991017,21.43178991,3272.550928,4.790522087,25.20113629
5.12665912,3115.816842,8.586015918,3274.694239,4.961799198,22.50874602
5.192705397,3113.846916,-9.783588704,3276.564299,5.12665912,12.5639388
5.117447022,3117.89441,45.52764575,3276.449818,5.192705397,-3.398580845
5.467659682,3133.320771,-13.90528101,3277.96204,5.117447022,31.54872387
