return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewma
2.420990531,409.0200454,-3.042498324,429.7333655,2.685633766,-27.62991766
2.400707209,412.6862857,-52.88707781,441.5902053,2.420990531,-10.06747528
2.04812669,424.4258421,-101.9667929,441.7497173,2.400707209,-40.65290566
1.36834807,469.854857,-116.5986506,461.9652428,2.04812669,-84.44853942
0.591023733,554.1150425,142.1187971,533.602535,1.36834807,-107.4129045
1.538482381,688.4001459,-23.36429671,625.7605712,0.591023733,70.82402523
1.382720403,693.3129425,-5.155064474,758.3946355,1.538482381,3.546652415
1.348353306,695.6733671,69.35338813,762.4889169,1.382720403,-2.668859648
1.810709227,719.8460833,38.84429167,762.7599406,1.348353306,48.77560305
2.069671172,729.3403955,-2.013118572,793.3652789,1.810709227,41.6818092
2.056250381,735.3578897,-32.43054633,802.4196014,2.069671172,10.47114651
1.840046739,744.4592538,-85.25687286,802.5019921,2.056250381,-20.17291981
1.271667587,806.8719558,15.24963122,810.355988,1.840046739,-66.6614577
1.373331795,812.8566107,-16.84851292,860.5828507,1.271667587,-8.153537045
1.261008375,813.7292629,20.30163044,861.8642906,1.373331795,-14.3642341
1.396352578,814.8557127,-1.323796989,864.0526713,1.261008375,10.39709772
1.387527265,816.0639252,6.659304121,866.4407209,1.396352578,2.025030069
1.431922626,814.4577718,25.2325803,866.4769724,1.387527265,5.335225821
1.600139828,814.3170179,42.42495872,866.6474441,1.431922626,19.54762188
1.882972886,815.2051363,40.94706993,870.3819531,1.600139828,35.88857677
2.155953352,820.8373894,-2.091252976,881.3959945,1.882972886,39.50178617
2.142011665,821.9152133,37.82134847,891.4711968,2.155953352,9.792472493
2.394153989,829.4567344,-1.099249056,891.5602733,2.142011665,29.81309819
2.386825662,828.6974085,44.81645237,899.9528766,2.394153989,7.732850157
2.685602011,838.9363059,4.087043632,899.9959688,2.386825662,34.22113745
2.712848968,842.8022985,55.49471585,911.8705434,2.685602011,12.69678472
3.082813741,862.3078249,-6.614055674,911.8348116,2.712848968,43.26673553
3.038720036,864.8362482,60.47594438,930.2217104,3.082813741,7.637598955
3.441892999,880.1470458,24.95519862,930.7832698,3.038720036,45.37927426
3.608260989,883.4556276,49.03454039,952.5527275,3.441892999,30.7906488
3.935157925,894.142002,30.68403186,955.5315538,3.608260989,43.82199993
4.139718138,892.2011032,-28.40429231,969.0948742,3.935157925,34.43773702
3.950356189,893.3590923,56.83507912,973.7198079,4.139718138,-10.44942679
4.329256716,927.3248708,2.893407139,980.6304523,3.950356189,37.61093458
4.348546097,895.4718783,-10.04381511,999.0281441,4.329256716,12.81270069
4.28158733,938.7846983,10.66025296,998.9165667,4.348546097,-3.513382023
4.352655683,938.3722527,14.23614028,1000.166951,4.28158733,6.610642964
