return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewm
-0.166976683,8.088432253,-1.177808047,18.32072019,-0.634192706,-1.539560775
-0.143428154,8.56032189,0.319780094,18.32455745,-0.651875872,-1.281165969
0.016951909,8.450145022,4.224443032,18.32262029,-0.665732438,-0.137633067
0.274215752,8.344117183,-0.66032768,18.32881832,-0.661970319,2.978135575
-0.86463483,8.275256873,-17.88729135,18.60209925,-0.612270989,0.37923325
-0.485984456,10.2508248,-6.595648926,18.59765576,-0.62003955,-12.66828432
-1.855947902,10.37959543,0.828750887,22.05658937,-0.830478272,-8.330687611
-1.054310507,10.28741333,-3.002072785,22.43348,-0.908074142,-1.788231541
-1.444484612,10.28715364,-0.15005865,22.45917273,-0.898324131,-2.655261001
-0.822702603,10.63669661,3.798629033,22.50049913,-0.933642635,-0.86583075
-0.253261274,10.47669247,-0.429728055,22.49746443,-0.93540803,2.465926238
-1.598234341,10.28249589,1.584419384,22.74883336,-0.890718277,0.397601743
-0.603570163,10.59597918,-1.084095868,22.74197407,-0.895773901,1.245328629
-0.953589508,10.30441906,-2.338694381,22.80455541,-0.877133673,-0.418546011
-1.398588691,10.1842092,-3.762090708,22.57015651,-0.931802625,-1.790080561
-1.400171844,10.09833795,-0.978465263,21.82843609,-1.042460716,-3.198659237
-2.292500768,10.03752873,-7.793545194,21.91256771,-1.069417659,-1.612806398
-1.56226223,10.37115981,-4.761102404,21.83494141,-1.038297639,-6.027619824
-2.54540467,10.07172769,-4.694304841,22.29063978,-1.14636293,-5.122964524
-2.857786287,9.097538454,-6.145702597,21.91343742,-1.109955313,-4.816779036
-1.788028531,9.087106029,-4.654381747,20.21423665,-1.00502123,-5.766010151
-2.320006744,9.120814596,-8.231672772,20.52148955,-1.065417958,-4.971989862
-4.121170751,9.071461465,13.85141591,20.16020033,-1.184238413,-7.300334798
-2.250420925,11.08030343,-1.275393186,20.64861873,-1.233998176,7.808058567
-1.40124718,10.59083906,0.736706359,23.29321894,-1.054328279,1.319878743
-1.051476229,10.14320016,2.73726074,23.27316398,-1.041413169,0.90332704
-0.957359681,10.18082469,-1.185538965,22.20204121,-1.134238044,2.213279683
-0.944464414,10.27427456,0.341399805,22.31941543,-1.114945162,-0.214447923
-0.988483857,10.06920882,-0.914172979,22.29125978,-1.097653453,0.182586169
-2.014797581,9.952166734,-1.303341776,22.19163705,-1.04299399,-0.600813223
-1.448549996,10.29559821,10.21490721,22.08294329,-1.077078718,-1.102619332
0.436894002,10.55455438,4.424606609,21.99440172,-1.111904016,6.981328197
-2.094989015,10.70857116,-1.725277002,23.3906312,-0.946857208,5.155098491
-1.0685054,10.81405631,0.147368567,23.58212924,-0.925317643,0.240544568
-0.081736255,10.5299043,-1.903369227,23.52873412,-0.96121645,0.173990282
-1.52075854,10.61893916,-1.000350965,23.36566799,-0.902913557,-1.309837939
0.145083006,10.36502388,2.175604795,23.22783701,-0.956236296,-1.088775815
