return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewm
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,32.03131291,0,0,0
0.180176135,6.372452973,-274.8311834,0,0,22.87950922
-1.349733615,476.1858485,-498.1027861,6.372452973,0.200195706,-189.7709855
-4.275964658,2007.71072,-249.1758757,476.1858485,-1.517499191,-410.0079859
-38.05212235,1519.559798,89.73330232,2007.71072,-4.630641604,-295.1279072
-65.63460455,1222.462057,-120.8267126,2378.916188,-6.187990827,-20.22704325
-46.82640789,1012.857799,-228.5067566,2435.867924,-5.627157687,-92.08394991
-111.9925713,969.4856271,127.6902304,2518.043101,-6.382324641,-189.5288118
-57.77069105,1328.056413,246.213977,2824.119246,-7.81049187,37.05621831
-40.4877655,1721.677662,43.56813217,2937.853853,-7.01242793,186.4546174
-33.84538949,1666.053476,3.531554437,3335.95107,-5.473590573,84.39284223
-24.33487364,1465.23341,140.1572161,3350.721487,-5.201289747,26.63477952
-2.774185256,1510.972136,71.00039579,3351.028557,-5.179217532,107.7222342
-35.26849049,1404.765369,112.9969036,3482.110303,-4.303234931,81.49234962
-42.69159472,1564.04405,-81.23129594,3517.23913,-3.859482458,103.9956024
-38.78401872,1560.19958,44.80044778,3601.993614,-3.15325181,-28.30932497
-49.05888732,1501.597317,93.57138739,3639.774847,-3.66094741,23.91194128
-39.24644885,1550.328269,-54.6450238,3654.290847,-3.380944611,73.6686885
-46.41917314,1477.828798,78.41848307,3712.625856,-2.79612344,-17.98396314
-37.33406924,1613.716643,97.38775303,3729.262275,-3.137654839,50.87492701
-36.38514899,1638.08602,97.33077189,3770.531804,-2.64753932,84.09837417
-11.95040977,1632.231356,-129.1832804,3832.661635,-2.038865863,93.55008683
-38.57908157,1665.160341,-109.8618035,3893.980135,-1.430548539,-65.54517548
-52.06421549,1557.458071,120.9950723,3995.32021,-2.237944042,-97.19990979
-54.61733902,1752.543322,-115.6873672,4067.210533,-2.924580314,58.65364887
-103.9621876,1642.652014,164.9501821,4162.56071,-2.168361111,-65.87564835
-71.15135939,1988.327713,82.73625168,4242.549558,-2.891407157,98.99994483
-28.70613175,2086.675065,58.4858075,4417.501966,-1.860468519,87.38302115
-35.5882409,1935.470678,123.5119116,4461.94172,-1.343366946,66.74215426
-27.60917132,2007.391763,34.10428365,4484.168888,-0.977830649,107.2919809
6.981576975,1985.625621,56.91679458,4580.427605,-0.205881201,55.0150543
-18.0619673,2086.160665,52.64402367,4587.739328,0.007270572,56.37344022
13.41355467,2046.623174,14.44559183,4607.854621,0.363000538,53.70957125
-6.303850669,1984.02194,-42.54749051,4624.828699,0.692025686,25.66387167
-8.590598117,2192.260328,-33.6941127,4625.999808,0.782310635,-23.05852989
-13.75117221,2025.915914,-50.16397929,4637.659466,0.516388819,-30.65537475
-29.25078176,1944.696956,-150.4514344,4644.928192,0.305800615,-44.59009228
-19.31243165,2016.461478,-210.7084932,4660.749302,-0.007724256,-120.2053366
-62.05816091,2201.331638,239.2295987,4801.323284,-0.948045721,-184.8504485
-35.51860704,2494.64265,-10.36610397,5074.5799,-2.264973803,118.063871
21.22805729,2276.592419,-27.04152157,5436.809937,-0.769788811,26.32817458
3.886305722,2219.444775,142.8452766,5437.377594,-0.834576961,-11.79303695
14.18196381,2351.633879,50.15418223,5441.637201,-1.003586471,98.66290133
10.77447787,2278.314575,9.342873187,5570.161941,-0.110803492,64.01381626
5.686226035,2393.847015,-12.87124458,5585.85466,0.202660147,24.96314264
-9.962559796,2289.971677,-132.0464789,5586.373141,0.261053105,-2.06141966
-42.53773479,2372.914126,24.35701058,5587.444101,0.180607826,-94.90789053
-41.96358403,2364.14444,-36.05569234,5696.037808,-0.644682667,-9.718675448
-50.43662924,2324.863674,41.96941178,5699.918815,-0.492451351,-28.53083037
-5.773748508,2359.02221,17.10186998,5707.771168,-0.717799428,21.82648545
-4.449815818,2386.369871,-41.06746837,5719.08788,-0.455490604,18.45176011
-2.296900469,2307.877692,31.3933303,5721.001789,-0.348603917,-24.06197452
-13.54606766,2363.951515,62.50160848,5731.297811,-0.605275594,15.54895749
-19.58869787,2373.355029,104.8947213,5737.656466,-0.40906728,49.08656534
-9.449324205,2308.373641,-2.463058035,5762.238782,-0.018432227,88.9495339
22.85040228,2379.053475,44.29088873,5830.60129,0.637159781,23.65482537
28.14532783,2327.98196,-27.26616984,5830.658586,0.621765669,38.39487063
-5.022305506,2425.085981,89.97026363,5842.498244,0.898583723,-8.505872566
-1.861141438,2383.532379,-31.86304144,5847.42199,0.728170162,61.83422472
-1.890632454,2452.583641,86.36820139,5896.878424,1.290484309,-5.092393967
12.31649226,2378.495782,-23.31103154,5903.698084,1.0913403,60.23660271
0.999596591,2387.56925,87.9959554,5948.850149,1.631141559,0.559721106
10.44474843,2464.64894,40.0751033,5952.700493,1.485447612,63.01417418
12.55233587,2432.481871,49.74138169,5999.159655,2.035422333,46.62912355
10.77020502,2488.349852,48.47007973,6008.114885,2.285891729,48.85216508
2.634217403,2445.355807,-30.20503073,6022.060725,2.596775364,48.57924697
9.959066294,2393.983391,49.12805844,6035.079058,2.899713363,-7.695237099
2.384554313,2553.735433,8.177613899,6041.840393,2.710931921,32.89283114
-0.679550316,2511.80878,-21.53924585,6055.166116,3.017982286,15.23910454
-6.814178035,2416.870765,-0.299650827,6055.272964,3.069092373,-11.03114574
-4.122781184,2553.265678,74.41685214,6058.980785,2.934472086,-3.36579223
5.676017177,2444.359976,-79.0037222,6058.992334,2.932599269,52.19323946
-16.34623424,2562.596133,64.75427614,6090.659751,3.397704594,-41.51887601
8.662382125,2468.921786,-82.81908661,6132.781256,2.903931331,34.39051838
7.550476309,2465.278109,27.17547524,6156.473914,3.308645557,-49.33062804
1.100612445,2513.568155,-8.771004268,6202.499979,2.791026265,5.316588589
3.460062671,2589.074757,4.871392381,6206.138703,2.960872985,-4.745977737
14.40558814,2674.926938,-89.30434712,6206.941136,2.906054209,2.123572347
-19.78467338,2588.863728,82.75640092,6206.911568,2.936500411,-63.18208442
5.409137714,2628.695496,-31.69867247,6259.723478,2.378348242,41.05969083
-8.961238815,2589.394028,-13.18546467,6299.799546,2.895575747,-10.91056867
-10.10265567,2666.032257,-10.28823313,6307.187656,2.697459044,-12.53549438
2.823684769,2726.534173,-23.61575187,6308.712058,2.61504989,-10.93030778
8.199637181,2687.421876,-83.72776312,6309.705775,2.550748433,-19.99133927
7.420233339,2624.024144,-54.45834701,6313.922611,2.403149984,-65.51735631
7.201287483,2598.528798,-107.2434898,6359.978514,1.879851465,-57.61806395
-3.116005624,2707.04093,74.12011684,6379.678033,1.539486796,-93.06479667
7.492262257,2696.213487,27.05640082,6453.174806,0.869214985,26.3529987
-0.853401825,2621.665375,-100.8769561,6486.491074,1.332465715,26.85542879
5.3829801,2614.341867,-121.0885793,6490.587137,1.50156822,-64.38198902
-15.84975568,2693.696502,46.17753004,6555.684053,0.871087244,-104.8866964
4.970517625,2636.72569,127.1260667,6648.070061,0.114283623,3.016322489
2.955404279,2760.757445,29.37547894,6661.248075,0.402893186,91.6661398
14.39850191,2753.12111,6.643082319,6760.983037,1.197431103,47.17281061
19.79358733,2675.936118,-15.9905616,6765.902883,1.381027847,18.22300469
20.19480801,2804.388569,83.29563378,6766.062296,1.422547111,-6.21525695
6.707569009,2772.800595,26.64549497,6767.934762,1.322606101,57.72109357
